"","TCGA_barcode","TCGA_submitterID","Match_id"
"21","TCGA-BL-A13I-01A-11R-A277-07","TCGA-BL-A13I",1
"75","TCGA-BL-A13I-01B-04R-A277-07","TCGA-BL-A13I",1
"159","TCGA-BL-A13I-01A-11R-A13Y-07","TCGA-BL-A13I",1
"162","TCGA-BL-A13J-01B-04R-A277-07","TCGA-BL-A13J",4
"263","TCGA-BL-A13J-01A-11R-A277-07","TCGA-BL-A13J",4
"345","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BL-A13J",4
"242","TCGA-BL-A0C8-01A-11R-A10U-07","TCGA-BL-A0C8",5
"333","TCGA-BL-A0C8-01B-04R-A277-07","TCGA-BL-A0C8",5
"402","TCGA-BL-A0C8-01A-11R-A277-07","TCGA-BL-A0C8",5
"1","TCGA-GU-A767-01A-11R-A32O-07","TCGA-GU-A767",NA
"2","TCGA-FD-A3B3-01A-12R-A206-07","TCGA-FD-A3B3",NA
"3","TCGA-C4-A0F7-01A-11R-A084-07","TCGA-C4-A0F7",NA
"4","TCGA-DK-A2I1-01A-11R-A180-07","TCGA-DK-A2I1",NA
"5","TCGA-DK-A1AG-01A-11R-A13Y-07","TCGA-DK-A1AG",NA
"6","TCGA-UY-A9PB-01A-11R-A38B-07","TCGA-UY-A9PB",NA
"7","TCGA-ZF-AA54-01A-11R-A39I-07","TCGA-ZF-AA54",NA
"8","TCGA-XF-AAN0-01A-11R-A42T-07","TCGA-XF-AAN0",NA
"9","TCGA-XF-A9SK-01A-11R-A42T-07","TCGA-XF-A9SK",NA
"10","TCGA-FJ-A871-01A-11R-A352-07","TCGA-FJ-A871",NA
"11","TCGA-ZF-A9R1-01A-11R-A39I-07","TCGA-ZF-A9R1",NA
"12","TCGA-FD-A3SM-01A-11R-A22U-07","TCGA-FD-A3SM",NA
"13","TCGA-ZF-A9R2-01A-11R-A39I-07","TCGA-ZF-A9R2",NA
"14","TCGA-CF-A47W-01A-11R-A23W-07","TCGA-CF-A47W",NA
"15","TCGA-ZF-AA4U-01A-11R-A38B-07","TCGA-ZF-AA4U",NA
"16","TCGA-DK-A1AD-01A-11R-A13Y-07","TCGA-DK-A1AD",NA
"17","TCGA-E7-A8O7-01A-11R-A36F-07","TCGA-E7-A8O7",NA
"18","TCGA-ZF-AA56-01A-31R-A39I-07","TCGA-ZF-AA56",NA
"19","TCGA-FD-A62P-01A-32R-A30C-07","TCGA-FD-A62P",NA
"20","TCGA-G2-AA3C-01A-21R-A39I-07","TCGA-G2-AA3C",NA
"22","TCGA-BT-A42C-01A-11R-A23N-07","TCGA-BT-A42C",NA
"23","TCGA-FD-A5BX-01A-11R-A26T-07","TCGA-FD-A5BX",NA
"24","TCGA-FD-A62S-01A-11R-A30C-07","TCGA-FD-A62S",NA
"25","TCGA-DK-A6B1-01A-12R-A30C-07","TCGA-DK-A6B1",NA
