"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AZ-6601",NA
"2","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-A6-2686",NA
"3","TCGA-AZ-6603-11A-02R-1839-07","TCGA-AZ-6603",NA
"4","TCGA-AZ-6605-11A-01R-1839-07","TCGA-AZ-6605",NA
"5","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3660",NA
"6","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3713",NA
"7","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AZ-6598",NA
"8","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-A6-2680",NA
"9","TCGA-AA-3655-11A-01R-1723-07","TCGA-AA-3655",NA
"10","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-AA-3516",NA
"11","TCGA-F4-6704-11A-01R-1839-07","TCGA-F4-6704",NA
"12","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AZ-6600",NA
"13","TCGA-A6-5659-11A-01R-1653-07","TCGA-A6-5659",NA
"14","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AA-3520",NA
"15","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-2679",NA
"16","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-A6-2678",NA
"17","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AZ-6599",NA
"18","TCGA-A6-5662-11A-01R-1653-07","TCGA-A6-5662",NA
"19","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-A6-2683",NA
"20","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3525",NA
"21","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3527",NA
"22","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3489",NA
"23","TCGA-A6-2685-11A-01R-A32Z-07","TCGA-A6-2685",NA
"24","TCGA-A6-5665-11A-01R-1653-07","TCGA-A6-5665",NA
"25","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3697",NA
"26","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3496",NA
"27","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-AA-3534",NA
"28","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-A6-2682",NA
"29","TCGA-AA-3663-11A-01R-1723-07","TCGA-AA-3663",NA
"30","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-5667",NA
"31","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3517",NA
"32","TCGA-AA-3518-11A-01R-1672-07","TCGA-AA-3518",NA
"33","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2675",NA
"34","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-A6-2671",NA
"35","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3662",NA
"36","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3531",NA
"37","TCGA-AA-3511-11A-01R-1839-07","TCGA-AA-3511",NA
"38","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2684",NA
"39","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-AA-3514",NA
"40","TCGA-AA-3712-11A-01R-1723-07","TCGA-AA-3712",NA
"41","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3522",NA
