"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-FA-A82F-01A-11R-A38C-07","TCGA-FA-A82F",NA
"2","TCGA-FF-A7CR-01A-11R-A38C-07","TCGA-FF-A7CR",NA
"3","TCGA-FA-A7Q1-01A-11R-A38C-07","TCGA-FA-A7Q1",NA
"4","TCGA-FA-8693-01A-11R-2404-07","TCGA-FA-8693",NA
"5","TCGA-FF-A7CX-01A-12R-A38C-07","TCGA-FF-A7CX",NA
"6","TCGA-GS-A9TY-01A-11R-A39D-07","TCGA-GS-A9TY",NA
"7","TCGA-GR-A4D6-01A-11R-A31O-07","TCGA-GR-A4D6",NA
"8","TCGA-G8-6909-01A-11R-2213-07","TCGA-G8-6909",NA
"9","TCGA-FA-A86F-01A-11R-A38C-07","TCGA-FA-A86F",NA
"10","TCGA-GS-A9U3-01A-11R-A39D-07","TCGA-GS-A9U3",NA
"11","TCGA-GR-7351-01A-11R-2213-07","TCGA-GR-7351",NA
"12","TCGA-RQ-AAAT-01A-11R-A39D-07","TCGA-RQ-AAAT",NA
"13","TCGA-GS-A9TV-01A-11R-A38C-07","TCGA-GS-A9TV",NA
"14","TCGA-GS-A9U4-01A-11R-A39D-07","TCGA-GS-A9U4",NA
"15","TCGA-FF-8061-01A-11R-2213-07","TCGA-FF-8061",NA
"16","TCGA-FF-8046-01A-11R-2213-07","TCGA-FF-8046",NA
"17","TCGA-FA-A4XK-01A-11R-A31O-07","TCGA-FA-A4XK",NA
"18","TCGA-GS-A9TQ-01A-11R-A38C-07","TCGA-GS-A9TQ",NA
"19","TCGA-FF-8041-01A-11R-2213-07","TCGA-FF-8041",NA
"20","TCGA-G8-6326-01A-11R-2213-07","TCGA-G8-6326",NA
"21","TCGA-FF-8043-01A-11R-2213-07","TCGA-FF-8043",NA
"22","TCGA-FA-A6HO-01A-11R-A31O-07","TCGA-FA-A6HO",NA
"23","TCGA-FA-A4BB-01A-11R-A31O-07","TCGA-FA-A4BB",NA
"24","TCGA-FA-A6HN-01A-11R-A31O-07","TCGA-FA-A6HN",NA
"25","TCGA-G8-6325-01A-11R-2213-07","TCGA-G8-6325",NA
"26","TCGA-GR-A4D5-01A-11R-A31O-07","TCGA-GR-A4D5",NA
"27","TCGA-G8-6907-01A-11R-2213-07","TCGA-G8-6907",NA
"28","TCGA-FF-8042-01A-11R-2213-07","TCGA-FF-8042",NA
"29","TCGA-FF-A7CW-01A-11R-A38C-07","TCGA-FF-A7CW",NA
"30","TCGA-GR-7353-01A-11R-2213-07","TCGA-GR-7353",NA
"31","TCGA-FF-8047-01A-11R-2213-07","TCGA-FF-8047",NA
"32","TCGA-VB-A8QN-01A-11R-A38C-07","TCGA-VB-A8QN",NA
"33","TCGA-FM-8000-01A-11R-2213-07","TCGA-FM-8000",NA
"34","TCGA-G8-6914-01A-11R-2213-07","TCGA-G8-6914",NA
"35","TCGA-G8-6906-01A-11R-2213-07","TCGA-G8-6906",NA
"36","TCGA-GS-A9TU-01A-11R-A38C-07","TCGA-GS-A9TU",NA
"37","TCGA-GR-A4D9-01B-11R-A31O-07","TCGA-GR-A4D9",NA
"38","TCGA-GR-A4D4-01A-11R-A31O-07","TCGA-GR-A4D4",NA
"39","TCGA-G8-6324-01A-11R-2213-07","TCGA-G8-6324",NA
"40","TCGA-GS-A9TX-01A-11R-A38C-07","TCGA-GS-A9TX",NA
"41","TCGA-FA-A7DS-01A-11R-A38C-07","TCGA-FA-A7DS",NA
"42","TCGA-RQ-A6JB-01A-11R-A31O-07","TCGA-RQ-A6JB",NA
"43","TCGA-GS-A9TW-01A-11R-A38C-07","TCGA-GS-A9TW",NA
"44","TCGA-RQ-A68N-01A-11R-A31O-07","TCGA-RQ-A68N",NA
"45","TCGA-GS-A9TT-01A-11R-A38C-07","TCGA-GS-A9TT",NA
"46","TCGA-GS-A9TZ-01A-11R-A39D-07","TCGA-GS-A9TZ",NA
"47","TCGA-FF-A7CQ-01A-11R-A38C-07","TCGA-FF-A7CQ",NA
"48","TCGA-FF-8062-01A-11R-2213-07","TCGA-FF-8062",NA
