"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-CV-7103-11A-01R-2016-07","TCGA-CV-7103",NA
"2","TCGA-CV-7091-11A-01R-2016-07","TCGA-CV-7091",NA
"3","TCGA-CV-6960-11A-01R-2016-07","TCGA-CV-6960",NA
"4","TCGA-H7-A6C5-11A-11R-A30B-07","TCGA-H7-A6C5",NA
"5","TCGA-CV-6938-11A-01R-1915-07","TCGA-CV-6938",NA
"6","TCGA-CV-7261-11A-01R-2016-07","TCGA-CV-7261",NA
"7","TCGA-CV-7177-11A-01R-2016-07","TCGA-CV-7177",NA
"8","TCGA-CV-7178-11A-01R-2016-07","TCGA-CV-7178",NA
"9","TCGA-CV-6936-11A-01R-1915-07","TCGA-CV-6936",NA
"10","TCGA-CV-7416-11A-01R-2081-07","TCGA-CV-7416",NA
"11","TCGA-H7-A6C4-11A-21R-A466-07","TCGA-H7-A6C4",NA
"12","TCGA-CV-7425-11A-01R-2081-07","TCGA-CV-7425",NA
"13","TCGA-HD-A6HZ-11A-11R-A31N-07","TCGA-HD-A6HZ",NA
"14","TCGA-CV-7432-11A-01R-2132-07","TCGA-CV-7432",NA
"15","TCGA-CV-6961-11A-01R-1915-07","TCGA-CV-6961",NA
"16","TCGA-HD-A6I0-11A-11R-A31N-07","TCGA-HD-A6I0",NA
"17","TCGA-CV-7245-11A-01R-2016-07","TCGA-CV-7245",NA
"18","TCGA-CV-6955-11A-01R-2016-07","TCGA-CV-6955",NA
"19","TCGA-CV-7101-11A-01R-2016-07","TCGA-CV-7101",NA
"20","TCGA-CV-7255-11A-01R-2016-07","TCGA-CV-7255",NA
"21","TCGA-CV-7423-11A-01R-2081-07","TCGA-CV-7423",NA
"22","TCGA-CV-7238-11A-01R-2016-07","TCGA-CV-7238",NA
"23","TCGA-CV-7440-11A-01R-2187-07","TCGA-CV-7440",NA
"24","TCGA-HD-8635-11A-01R-2403-07","TCGA-HD-8635",NA
"25","TCGA-CV-6935-11A-01R-1915-07","TCGA-CV-6935",NA
"26","TCGA-CV-6939-11A-01R-1915-07","TCGA-CV-6939",NA
"27","TCGA-CV-6962-11A-01R-1915-07","TCGA-CV-6962",NA
"28","TCGA-CV-6959-11A-01R-1915-07","TCGA-CV-6959",NA
"29","TCGA-CV-7250-11A-01R-2016-07","TCGA-CV-7250",NA
"30","TCGA-CV-6956-11A-01R-2016-07","TCGA-CV-6956",NA
"31","TCGA-CV-6934-11A-01R-1915-07","TCGA-CV-6934",NA
"32","TCGA-CV-7183-11A-01R-2016-07","TCGA-CV-7183",NA
"33","TCGA-CV-7424-11A-01R-2081-07","TCGA-CV-7424",NA
"34","TCGA-WA-A7GZ-11A-11R-A34R-07","TCGA-WA-A7GZ",NA
"35","TCGA-CV-6933-11A-01R-1915-07","TCGA-CV-6933",NA
"36","TCGA-CV-7242-11A-01R-2016-07","TCGA-CV-7242",NA
"37","TCGA-CV-7235-11A-01R-2016-07","TCGA-CV-7235",NA
"38","TCGA-CV-7252-11A-01R-2016-07","TCGA-CV-7252",NA
"39","TCGA-CV-7097-11A-01R-2016-07","TCGA-CV-7097",NA
"40","TCGA-CV-7438-11A-01R-2132-07","TCGA-CV-7438",NA
"41","TCGA-CV-7406-11A-01R-2081-07","TCGA-CV-7406",NA
"42","TCGA-CV-6943-11A-01R-1915-07","TCGA-CV-6943",NA
"43","TCGA-CV-7434-11A-01R-2132-07","TCGA-CV-7434",NA
"44","TCGA-CV-7437-11A-01R-2132-07","TCGA-CV-7437",NA
