"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-BQ-5875-11A-01R-1592-07","TCGA-BQ-5875",NA
"2","TCGA-A4-A4ZT-11A-11R-A26U-07","TCGA-A4-A4ZT",NA
"3","TCGA-GL-7966-11A-01R-2204-07","TCGA-GL-7966",NA
"4","TCGA-BQ-5891-11A-01R-1592-07","TCGA-BQ-5891",NA
"5","TCGA-P4-A5ED-11A-11R-A28H-07","TCGA-P4-A5ED",NA
"6","TCGA-DZ-6132-11A-01R-1965-07","TCGA-DZ-6132",NA
"7","TCGA-GL-A9DE-11A-11R-A37K-07","TCGA-GL-A9DE",NA
"8","TCGA-GL-6846-11A-01R-1965-07","TCGA-GL-6846",NA
"9","TCGA-BQ-7059-11A-01R-1965-07","TCGA-BQ-7059",NA
"10","TCGA-BQ-7045-11A-01R-1965-07","TCGA-BQ-7045",NA
"11","TCGA-BQ-5887-11A-01R-1965-07","TCGA-BQ-5887",NA
"12","TCGA-BQ-5890-11A-01R-1592-07","TCGA-BQ-5890",NA
"13","TCGA-P4-A5E8-11A-12R-A28H-07","TCGA-P4-A5E8",NA
"14","TCGA-BQ-5894-11A-01R-1592-07","TCGA-BQ-5894",NA
"15","TCGA-BQ-7061-11A-01R-1965-07","TCGA-BQ-7061",NA
"16","TCGA-BQ-7044-11A-01R-1965-07","TCGA-BQ-7044",NA
"17","TCGA-BQ-5877-11A-01R-1592-07","TCGA-BQ-5877",NA
"18","TCGA-GL-A59R-11A-11R-A26U-07","TCGA-GL-A59R",NA
"19","TCGA-BQ-7051-11A-02R-1965-07","TCGA-BQ-7051",NA
"20","TCGA-DZ-6134-11A-01R-1965-07","TCGA-DZ-6134",NA
"21","TCGA-BQ-5884-11A-01R-1592-07","TCGA-BQ-5884",NA
"22","TCGA-Y8-A8RY-11A-11R-A37K-07","TCGA-Y8-A8RY",NA
"23","TCGA-BQ-5888-11A-01R-1592-07","TCGA-BQ-5888",NA
"24","TCGA-A4-A57E-11A-11R-A26U-07","TCGA-A4-A57E",NA
"25","TCGA-BQ-5879-11A-01R-1592-07","TCGA-BQ-5879",NA
"26","TCGA-BQ-7055-11A-01R-1965-07","TCGA-BQ-7055",NA
"27","TCGA-DZ-6131-11A-01R-1965-07","TCGA-DZ-6131",NA
"28","TCGA-B9-4115-11A-01R-1758-07","TCGA-B9-4115",NA
"29","TCGA-DZ-6133-11A-01R-1965-07","TCGA-DZ-6133",NA
"30","TCGA-BQ-5878-11A-01R-1592-07","TCGA-BQ-5878",NA
"31","TCGA-BQ-5882-11A-01R-1592-07","TCGA-BQ-5882",NA
"32","TCGA-BQ-7046-11A-01R-1965-07","TCGA-BQ-7046",NA
