"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-HW-A5KJ-01A-12R-A27Q-07","TCGA-HW-A5KJ",NA
"2","TCGA-S9-A7IX-01A-12R-A34F-07","TCGA-S9-A7IX",NA
"3","TCGA-S9-A6WG-01A-11R-A33Z-07","TCGA-S9-A6WG",NA
"4","TCGA-HT-7469-01A-11R-2256-07","TCGA-HT-7469",NA
"5","TCGA-HW-7495-01A-11R-2027-07","TCGA-HW-7495",NA
"6","TCGA-RY-A845-01A-11R-A36H-07","TCGA-RY-A845",NA
"7","TCGA-DU-5854-01A-11R-1708-07","TCGA-DU-5854",NA
"8","TCGA-DU-7006-01A-11R-2027-07","TCGA-DU-7006",NA
"9","TCGA-TQ-A7RS-01A-12R-A33Z-07","TCGA-TQ-A7RS",NA
"10","TCGA-VW-A8FI-01A-11R-A36H-07","TCGA-VW-A8FI",NA
"11","TCGA-DB-A75M-01A-11R-A32Q-07","TCGA-DB-A75M",NA
"12","TCGA-TM-A84H-01A-11R-A36H-07","TCGA-TM-A84H",NA
"13","TCGA-R8-A6ML-01A-11R-A32Q-07","TCGA-R8-A6ML",NA
"14","TCGA-FG-A4MW-01A-11R-A26U-07","TCGA-FG-A4MW",NA
"15","TCGA-VM-A8CH-01A-12R-A36H-07","TCGA-VM-A8CH",NA
"16","TCGA-DB-A4XF-01A-11R-A27Q-07","TCGA-DB-A4XF",NA
"17","TCGA-CS-5396-01A-02R-1470-07","TCGA-CS-5396",NA
"18","TCGA-HT-A617-01A-11R-A29R-07","TCGA-HT-A617",NA
"19","TCGA-P5-A77X-01A-11R-A32Q-07","TCGA-P5-A77X",NA
"20","TCGA-CS-4938-01B-11R-1896-07","TCGA-CS-4938",NA
"21","TCGA-P5-A77W-01A-11R-A32Q-07","TCGA-P5-A77W",NA
"22","TCGA-QH-A6CV-01A-11R-A31N-07","TCGA-QH-A6CV",NA
"23","TCGA-CS-6669-01A-11R-1896-07","TCGA-CS-6669",NA
"24","TCGA-DU-6402-01A-11R-1708-07","TCGA-DU-6402",NA
"25","TCGA-S9-A6U0-01A-12R-A32Q-07","TCGA-S9-A6U0",NA
"26","TCGA-DU-7019-01A-11R-2027-07","TCGA-DU-7019",NA
"27","TCGA-P5-A5F0-01A-11R-A28M-07","TCGA-P5-A5F0",NA
"28","TCGA-DU-A6S2-01A-21R-A32Q-07","TCGA-DU-A6S2",NA
"29","TCGA-FG-8187-01A-11R-2256-07","TCGA-FG-8187",NA
"30","TCGA-TM-A84L-01A-11R-A36H-07","TCGA-TM-A84L",NA
"31","TCGA-DU-6397-01A-11R-1708-07","TCGA-DU-6397",NA
"32","TCGA-HW-A5KM-01A-11R-A27Q-07","TCGA-HW-A5KM",NA
"33","TCGA-HT-7468-01A-11R-2027-07","TCGA-HT-7468",NA
"34","TCGA-HT-A74L-01A-11R-A32Q-07","TCGA-HT-A74L",NA
"35","TCGA-TM-A84C-01A-11R-A36H-07","TCGA-TM-A84C",NA
"36","TCGA-R8-A6MK-01A-11R-A32Q-07","TCGA-R8-A6MK",NA
"37","TCGA-TQ-A7RN-01A-11R-A33Z-07","TCGA-TQ-A7RN",NA
"38","TCGA-FG-A60K-01A-11R-A29R-07","TCGA-FG-A60K",NA
"39","TCGA-FG-7641-01B-11R-2256-07","TCGA-FG-7641",NA
"40","TCGA-DB-A64S-01A-11R-A29R-07","TCGA-DB-A64S",NA
"41","TCGA-S9-A7IQ-01A-21R-A34F-07","TCGA-S9-A7IQ",NA
"42","TCGA-DU-A5TY-01A-11R-A28M-07","TCGA-DU-A5TY",NA
"43","TCGA-F6-A8O3-01A-11R-A36H-07","TCGA-F6-A8O3",NA
"44","TCGA-DB-5275-01A-01R-1470-07","TCGA-DB-5275",NA
"45","TCGA-HT-7609-01A-11R-2090-07","TCGA-HT-7609",NA
"46","TCGA-S9-A7QZ-01A-12R-A34R-07","TCGA-S9-A7QZ",NA
"47","TCGA-CS-4942-01A-01R-1470-07","TCGA-CS-4942",NA
"48","TCGA-RY-A847-01A-11R-A36H-07","TCGA-RY-A847",NA
"49","TCGA-DU-A5TW-01A-11R-A28M-07","TCGA-DU-A5TW",NA
"50","TCGA-TM-A7C4-01A-11R-A32Q-07","TCGA-TM-A7C4",NA
"51","TCGA-E1-A7YL-01A-11R-A34F-07","TCGA-E1-A7YL",NA
"52","TCGA-HW-8321-01A-11R-2404-07","TCGA-HW-8321",NA
"53","TCGA-FG-6691-01A-11R-1896-07","TCGA-FG-6691",NA
"54","TCGA-DB-A4X9-01A-11R-A26U-07","TCGA-DB-A4X9",NA
"55","TCGA-S9-A7J1-01A-21R-A34R-07","TCGA-S9-A7J1",NA
"56","TCGA-DU-A7TI-01A-11R-A33Z-07","TCGA-DU-A7TI",NA
"57","TCGA-CS-5397-01A-01R-1896-07","TCGA-CS-5397",NA
"58","TCGA-HT-7874-01A-11R-2403-07","TCGA-HT-7874",NA
"59","TCGA-TM-A84M-01A-11R-A36H-07","TCGA-TM-A84M",NA
"60","TCGA-KT-A7W1-01A-11R-A34F-07","TCGA-KT-A7W1",NA
"61","TCGA-VV-A86M-01A-11R-A36H-07","TCGA-VV-A86M",NA
"62","TCGA-P5-A5ET-01A-11R-A27Q-07","TCGA-P5-A5ET",NA
"63","TCGA-HT-8015-01B-11R-A28M-07","TCGA-HT-8015",NA
"64","TCGA-HT-7605-01A-11R-2090-07","TCGA-HT-7605",NA
"65","TCGA-HT-8114-01A-11R-2404-07","TCGA-HT-8114",NA
"66","TCGA-S9-A6WH-01A-12R-A33Z-07","TCGA-S9-A6WH",NA
"67","TCGA-DU-7306-01A-11R-2090-07","TCGA-DU-7306",NA
"68","TCGA-TQ-A7RO-01A-11R-A33Z-07","TCGA-TQ-A7RO",NA
