"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-EJ-A8FO-11A-11R-A36G-07","TCGA-EJ-A8FO",NA
"2","TCGA-HC-7738-11A-01R-2118-07","TCGA-HC-7738",NA
"3","TCGA-EJ-7794-11A-01R-2118-07","TCGA-EJ-7794",NA
"4","TCGA-EJ-7785-11A-01R-2118-07","TCGA-EJ-7785",NA
"5","TCGA-G9-6348-11A-01R-1789-07","TCGA-G9-6348",NA
"6","TCGA-EJ-7783-11A-01R-2118-07","TCGA-EJ-7783",NA
"7","TCGA-EJ-7784-11A-01R-2118-07","TCGA-EJ-7784",NA
"8","TCGA-G9-6496-11A-01R-1789-07","TCGA-G9-6496",NA
"9","TCGA-EJ-7781-11A-01R-2118-07","TCGA-EJ-7781",NA
"10","TCGA-EJ-7328-11A-01R-2118-07","TCGA-EJ-7328",NA
"11","TCGA-HC-8262-11A-01R-2263-07","TCGA-HC-8262",NA
"12","TCGA-EJ-7125-11A-01R-1965-07","TCGA-EJ-7125",NA
"13","TCGA-HC-7740-11A-01R-2118-07","TCGA-HC-7740",NA
"14","TCGA-EJ-7314-11A-01R-2118-07","TCGA-EJ-7314",NA
"15","TCGA-G9-6363-11A-01R-1789-07","TCGA-G9-6363",NA
"16","TCGA-EJ-7330-11A-01R-2118-07","TCGA-EJ-7330",NA
"17","TCGA-HC-7752-11A-01R-2118-07","TCGA-HC-7752",NA
"18","TCGA-EJ-7123-11A-01R-1965-07","TCGA-EJ-7123",NA
"19","TCGA-CH-5767-11B-01R-1789-07","TCGA-CH-5767",NA
"20","TCGA-EJ-7789-11A-01R-2118-07","TCGA-EJ-7789",NA
"21","TCGA-G9-6362-11A-01R-1789-07","TCGA-G9-6362",NA
"22","TCGA-HC-7211-11A-01R-2118-07","TCGA-HC-7211",NA
"23","TCGA-HC-7745-11A-01R-2118-07","TCGA-HC-7745",NA
"24","TCGA-HC-7742-11A-01R-2118-07","TCGA-HC-7742",NA
"25","TCGA-EJ-7115-11A-01R-2118-07","TCGA-EJ-7115",NA
"26","TCGA-G9-6499-11A-02R-1965-07","TCGA-G9-6499",NA
"27","TCGA-G9-6333-11A-01R-1965-07","TCGA-G9-6333",NA
"28","TCGA-HC-7819-11A-01R-2118-07","TCGA-HC-7819",NA
"29","TCGA-HC-8260-11A-01R-2263-07","TCGA-HC-8260",NA
"30","TCGA-EJ-7793-11A-01R-2263-07","TCGA-EJ-7793",NA
"31","TCGA-CH-5768-11A-01R-1580-07","TCGA-CH-5768",NA
"32","TCGA-EJ-7317-11A-01R-2118-07","TCGA-EJ-7317",NA
"33","TCGA-CH-5769-11A-01R-1580-07","TCGA-CH-5769",NA
"34","TCGA-HC-8258-11A-01R-2263-07","TCGA-HC-8258",NA
"35","TCGA-G9-6365-11A-01R-1789-07","TCGA-G9-6365",NA
"36","TCGA-HC-7747-11A-01R-2118-07","TCGA-HC-7747",NA
"37","TCGA-HC-7737-11A-02R-2118-07","TCGA-HC-7737",NA
"38","TCGA-EJ-7786-11A-01R-2118-07","TCGA-EJ-7786",NA
"39","TCGA-J4-A83J-11A-11R-A36G-07","TCGA-J4-A83J",NA
"40","TCGA-G9-6356-11A-01R-1789-07","TCGA-G9-6356",NA
"41","TCGA-G9-6342-11A-02R-1965-07","TCGA-G9-6342",NA
"42","TCGA-EJ-7327-11A-01R-2118-07","TCGA-EJ-7327",NA
"43","TCGA-EJ-7797-11A-01R-2263-07","TCGA-EJ-7797",NA
"44","TCGA-EJ-7782-11A-01R-2118-07","TCGA-EJ-7782",NA
"45","TCGA-EJ-7315-11A-01R-2118-07","TCGA-EJ-7315",NA
"46","TCGA-EJ-7321-11A-01R-2263-07","TCGA-EJ-7321",NA
"47","TCGA-G9-6351-11A-01R-1965-07","TCGA-G9-6351",NA
"48","TCGA-EJ-7792-11A-01R-2118-07","TCGA-EJ-7792",NA
"49","TCGA-CH-5761-11A-01R-1580-07","TCGA-CH-5761",NA
"50","TCGA-EJ-7331-11A-01R-2118-07","TCGA-EJ-7331",NA
"51","TCGA-G9-6384-11A-01R-1858-07","TCGA-G9-6384",NA
"52","TCGA-HC-8259-11A-01R-2263-07","TCGA-HC-8259",NA
