"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-EB-A4P0-01A-41R-A266-07","TCGA-EB-A4P0",NA
"2","TCGA-D9-A4Z5-01A-11R-A266-07","TCGA-D9-A4Z5",NA
"3","TCGA-BF-A1PU-01A-11R-A18S-07","TCGA-BF-A1PU",NA
"4","TCGA-BF-A5EQ-01A-21R-A27Q-07","TCGA-BF-A5EQ",NA
"5","TCGA-EB-A553-01A-12R-A27Q-07","TCGA-EB-A553",NA
"6","TCGA-EB-A5UM-01A-11R-A311-07","TCGA-EB-A5UM",NA
"7","TCGA-EB-A41B-01A-11R-A24X-07","TCGA-EB-A41B",NA
"8","TCGA-ER-A2NB-01A-12R-A18S-07","TCGA-ER-A2NB",NA
"9","TCGA-ER-A2NF-01A-11R-A18T-07","TCGA-ER-A2NF",NA
"10","TCGA-IH-A3EA-01A-11R-A20F-07","TCGA-IH-A3EA",NA
"11","TCGA-EB-A3HV-01A-11R-A21D-07","TCGA-EB-A3HV",NA
"12","TCGA-EB-A299-01A-21R-A18U-07","TCGA-EB-A299",NA
"13","TCGA-EB-A24D-01A-11R-A18T-07","TCGA-EB-A24D",NA
"14","TCGA-BF-A3DM-01A-11R-A20F-07","TCGA-BF-A3DM",NA
"15","TCGA-BF-A5EO-01A-12R-A27Q-07","TCGA-BF-A5EO",NA
"16","TCGA-HR-A5NC-01A-11R-A27Q-07","TCGA-HR-A5NC",NA
"17","TCGA-EB-A5SF-01A-11R-A311-07","TCGA-EB-A5SF",NA
"18","TCGA-BF-AAOU-01A-12R-A39D-07","TCGA-BF-AAOU",NA
"19","TCGA-XV-A9W5-01A-11R-A38C-07","TCGA-XV-A9W5",NA
"20","TCGA-EB-A550-01A-61R-A27Q-07","TCGA-EB-A550",NA
"21","TCGA-GN-A4U5-01A-11R-A32P-07","TCGA-GN-A4U5",NA
"22","TCGA-DA-A960-01A-11R-A37K-07","TCGA-DA-A960",NA
"23","TCGA-EB-A6R0-01A-12R-A32P-07","TCGA-EB-A6R0",NA
"24","TCGA-BF-A5ES-01A-11R-A27Q-07","TCGA-BF-A5ES",NA
"25","TCGA-D3-A5GT-01A-12R-A311-07","TCGA-D3-A5GT",NA
"26","TCGA-FS-A1ZN-01A-11R-A18T-07","TCGA-FS-A1ZN",NA
