"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-ZC-AAAF-01A-11R-A42S-07","TCGA-ZC-AAAF",NA
"2","TCGA-X7-A8M7-01A-11R-A42C-07","TCGA-X7-A8M7",NA
"3","TCGA-4V-A9QT-01A-11R-A42C-07","TCGA-4V-A9QT",NA
"4","TCGA-5V-A9RR-01A-11R-A42C-07","TCGA-5V-A9RR",NA
"5","TCGA-ZB-A96Q-01A-11R-A42S-07","TCGA-ZB-A96Q",NA
"6","TCGA-XU-AAY0-01A-11R-A42C-07","TCGA-XU-AAY0",NA
"7","TCGA-4V-A9QJ-01A-11R-A42C-07","TCGA-4V-A9QJ",NA
"8","TCGA-X7-A8M3-01A-11R-A42C-07","TCGA-X7-A8M3",NA
"9","TCGA-X7-A8DF-01A-11R-A42C-07","TCGA-X7-A8DF",NA
"10","TCGA-XU-A92Y-01A-11R-A42C-07","TCGA-XU-A92Y",NA
"11","TCGA-ZB-A96G-01A-11R-A42S-07","TCGA-ZB-A96G",NA
"12","TCGA-YT-A95D-01A-11R-A42C-07","TCGA-YT-A95D",NA
"13","TCGA-ZB-A96H-01A-11R-A42S-07","TCGA-ZB-A96H",NA
"14","TCGA-ZB-A96F-01A-11R-A42S-07","TCGA-ZB-A96F",NA
"15","TCGA-X7-A8D7-01A-11R-A42C-07","TCGA-X7-A8D7",NA
"16","TCGA-4V-A9QS-01A-11R-A42C-07","TCGA-4V-A9QS",NA
"17","TCGA-3G-AB0O-01A-22R-A42C-07","TCGA-3G-AB0O",NA
"18","TCGA-X7-A8DJ-01A-11R-A42C-07","TCGA-X7-A8DJ",NA
"19","TCGA-XM-A8RB-01A-11R-A42C-07","TCGA-XM-A8RB",NA
"20","TCGA-ZB-A966-01A-11R-A42S-07","TCGA-ZB-A966",NA
"21","TCGA-ZB-A96A-01A-11R-A42S-07","TCGA-ZB-A96A",NA
"22","TCGA-X7-A8M5-01A-11R-A42C-07","TCGA-X7-A8M5",NA
"23","TCGA-ZB-A96O-01A-11R-A42S-07","TCGA-ZB-A96O",NA
"24","TCGA-XU-A92V-01A-11R-A42C-07","TCGA-XU-A92V",NA
"25","TCGA-5G-A9ZZ-01A-31R-A42C-07","TCGA-5G-A9ZZ",NA
"26","TCGA-4X-A9FA-01A-11R-A42C-07","TCGA-4X-A9FA",NA
"27","TCGA-3Q-A9WF-01A-11R-A42C-07","TCGA-3Q-A9WF",NA
"28","TCGA-ZB-A969-01A-11R-A42S-07","TCGA-ZB-A969",NA
"29","TCGA-XU-A92T-01A-11R-A42C-07","TCGA-XU-A92T",NA
"30","TCGA-X7-A8M4-01A-11R-A42C-07","TCGA-X7-A8M4",NA
"31","TCGA-ZB-A964-01A-11R-A42S-07","TCGA-ZB-A964",NA
"32","TCGA-XU-A92W-01A-11R-A42C-07","TCGA-XU-A92W",NA
"33","TCGA-ZB-A965-01A-11R-A42S-07","TCGA-ZB-A965",NA
"34","TCGA-XM-AAZ1-01A-11R-A42C-07","TCGA-XM-AAZ1",NA
"35","TCGA-XU-A92X-01A-11R-A42C-07","TCGA-XU-A92X",NA
"36","TCGA-ZB-A96E-01A-11R-A42S-07","TCGA-ZB-A96E",NA
"37","TCGA-4V-A9QW-01A-11R-A42C-07","TCGA-4V-A9QW",NA
"38","TCGA-X7-A8M6-01A-11R-A42C-07","TCGA-X7-A8M6",NA
"39","TCGA-3G-AB14-01A-11R-A42C-07","TCGA-3G-AB14",NA
"40","TCGA-XU-AAXY-01A-11R-A42C-07","TCGA-XU-AAXY",NA
"41","TCGA-XM-AAZ2-01A-11R-A42C-07","TCGA-XM-AAZ2",NA
"42","TCGA-XU-A932-01A-11R-A42C-07","TCGA-XU-A932",NA
"43","TCGA-XU-A92U-01A-11R-A42C-07","TCGA-XU-A92U",NA
"44","TCGA-XM-A8RE-01A-11R-A42C-07","TCGA-XM-A8RE",NA
"45","TCGA-ZB-A96M-01A-11R-A42S-07","TCGA-ZB-A96M",NA
"46","TCGA-ZC-AAAH-01A-11R-A42S-07","TCGA-ZC-AAAH",NA
"47","TCGA-4V-A9QX-01A-11R-A42C-07","TCGA-4V-A9QX",NA
"48","TCGA-3S-AAYX-01A-11R-A42C-07","TCGA-3S-AAYX",NA
"49","TCGA-XM-A8R9-01A-31R-A42C-07","TCGA-XM-A8R9",NA
"50","TCGA-4X-A9F9-01A-11R-A42C-07","TCGA-4X-A9F9",NA
"51","TCGA-ZC-AAAA-01A-11R-A42S-07","TCGA-ZC-AAAA",NA
"52","TCGA-XU-A92Q-01A-11R-A42C-07","TCGA-XU-A92Q",NA
"53","TCGA-X7-A8DG-01A-11R-A42C-07","TCGA-X7-A8DG",NA
"54","TCGA-X7-A8D8-01A-11R-A42C-07","TCGA-X7-A8D8",NA
"55","TCGA-4X-A9FB-01A-11R-A42C-07","TCGA-4X-A9FB",NA
"56","TCGA-XU-AAY1-01A-11R-A42C-07","TCGA-XU-AAY1",NA
"57","TCGA-XU-A930-01A-11R-A42C-07","TCGA-XU-A930",NA
"58","TCGA-XU-A92O-01A-11R-A42C-07","TCGA-XU-A92O",NA
"59","TCGA-3T-AA9L-01A-11R-A42C-07","TCGA-3T-AA9L",NA
"60","TCGA-4V-A9QN-01A-11R-A42C-07","TCGA-4V-A9QN",NA
"61","TCGA-ZB-A96B-01A-11R-A42S-07","TCGA-ZB-A96B",NA
"62","TCGA-XU-A936-01A-11R-A42C-07","TCGA-XU-A936",NA
"63","TCGA-ZL-A9V6-01A-11R-A42S-07","TCGA-ZL-A9V6",NA
"64","TCGA-ZC-AAA7-01A-11R-A42S-07","TCGA-ZC-AAA7",NA
"65","TCGA-XU-AAXX-01A-11R-A42C-07","TCGA-XU-AAXX",NA
"66","TCGA-YT-A95F-01A-11R-A42C-07","TCGA-YT-A95F",NA
"67","TCGA-5U-AB0D-01A-11R-A42C-07","TCGA-5U-AB0D",NA
"68","TCGA-YT-A95E-01A-11R-A42C-07","TCGA-YT-A95E",NA
"69","TCGA-XU-AAXW-01A-11R-A42C-07","TCGA-XU-AAXW",NA
"70","TCGA-XM-A8RC-01A-11R-A42C-07","TCGA-XM-A8RC",NA
"71","TCGA-XM-A8RH-01A-11R-A42C-07","TCGA-XM-A8RH",NA
"72","TCGA-X7-A8DD-01A-11R-A42C-07","TCGA-X7-A8DD",NA
"73","TCGA-XU-A931-01A-11R-A42C-07","TCGA-XU-A931",NA
"74","TCGA-X7-A8M8-01A-11R-A42C-07","TCGA-X7-A8M8",NA
"75","TCGA-ZB-A96D-01A-11R-A42S-07","TCGA-ZB-A96D",NA
"76","TCGA-ZB-A961-01A-11R-A42S-07","TCGA-ZB-A961",NA
"77","TCGA-XU-A933-01A-11R-A42C-07","TCGA-XU-A933",NA
"78","TCGA-ZT-A8OM-01A-11R-A42S-07","TCGA-ZT-A8OM",NA
"79","TCGA-XU-AAXZ-01A-11R-A466-07","TCGA-XU-AAXZ",NA
"80","TCGA-X7-A8DB-01A-11R-A42C-07","TCGA-X7-A8DB",NA
"81","TCGA-XU-AAXV-01A-11R-A42C-07","TCGA-XU-AAXV",NA
"82","TCGA-ZB-A96C-01A-11R-A42S-07","TCGA-ZB-A96C",NA
"83","TCGA-4V-A9QL-01A-11R-A42C-07","TCGA-4V-A9QL",NA
"84","TCGA-YT-A95G-01A-11R-A42S-07","TCGA-YT-A95G",NA
"85","TCGA-ZB-A96V-01A-11R-A42S-07","TCGA-ZB-A96V",NA
"86","TCGA-ZB-A96K-01A-11R-A42S-07","TCGA-ZB-A96K",NA
"87","TCGA-YT-A95H-01A-11R-A42S-07","TCGA-YT-A95H",NA
"88","TCGA-X7-A8DE-01A-11R-A42C-07","TCGA-X7-A8DE",NA
"89","TCGA-5K-AAAP-01A-11R-A42C-07","TCGA-5K-AAAP",NA
"90","TCGA-5U-AB0E-01A-11R-A42C-07","TCGA-5U-AB0E",NA
"91","TCGA-ZB-A96L-01A-11R-A42S-07","TCGA-ZB-A96L",NA
"92","TCGA-XM-A8RF-01A-11R-A42C-07","TCGA-XM-A8RF",NA
"93","TCGA-XM-A8RG-01A-11R-A42C-07","TCGA-XM-A8RG",NA
"94","TCGA-XU-A92Z-01A-11R-A42C-07","TCGA-XU-A92Z",NA
"95","TCGA-3S-A8YW-01A-11R-A42C-07","TCGA-3S-A8YW",NA
"96","TCGA-X7-A8M0-01A-11R-A42C-07","TCGA-X7-A8M0",NA
"97","TCGA-ZB-A96I-01A-11R-A42S-07","TCGA-ZB-A96I",NA
"98","TCGA-4X-A9FC-01A-11R-A42C-07","TCGA-4X-A9FC",NA
"99","TCGA-3G-AB0Q-01A-11R-A42C-07","TCGA-3G-AB0Q",NA
"100","TCGA-XM-AAZ3-01A-11R-A42C-07","TCGA-XM-AAZ3",NA
"101","TCGA-3G-AB19-01A-21R-A42C-07","TCGA-3G-AB19",NA
"102","TCGA-4V-A9QM-01A-11R-A42C-07","TCGA-4V-A9QM",NA
"103","TCGA-4V-A9QI-01A-11R-A42C-07","TCGA-4V-A9QI",NA
"104","TCGA-XM-A8RI-01A-12R-A42C-07","TCGA-XM-A8RI",NA
"105","TCGA-X7-A8M1-01A-11R-A42C-07","TCGA-X7-A8M1",NA
"106","TCGA-4V-A9QR-01A-11R-A42C-07","TCGA-4V-A9QR",NA
"107","TCGA-XM-A8R8-01A-11R-A42C-07","TCGA-XM-A8R8",NA
"108","TCGA-XM-A8RD-01A-11R-A42C-07","TCGA-XM-A8RD",NA
"109","TCGA-X7-A8D9-01A-11R-A42C-07","TCGA-X7-A8D9",NA
"110","TCGA-X7-A8D6-01A-11R-A42C-07","TCGA-X7-A8D6",NA
"111","TCGA-ZB-A96P-01A-11R-A42S-07","TCGA-ZB-A96P",NA
"112","TCGA-3G-AB0T-01A-11R-A42C-07","TCGA-3G-AB0T",NA
"113","TCGA-ZB-A963-01A-11R-A42S-07","TCGA-ZB-A963",NA
"114","TCGA-ZB-A96R-01A-11R-A42S-07","TCGA-ZB-A96R",NA
"115","TCGA-4V-A9QU-01A-11R-A42C-07","TCGA-4V-A9QU",NA
"116","TCGA-4X-A9FD-01A-11R-A42C-07","TCGA-4X-A9FD",NA
"117","TCGA-5U-AB0F-01A-11R-A42C-07","TCGA-5U-AB0F",NA
"118","TCGA-XH-A853-01A-11R-A42C-07","TCGA-XH-A853",NA
"119","TCGA-XM-A8RL-01A-11R-A42C-07","TCGA-XM-A8RL",NA
