"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-AX-A05Y-11A-11R-A27V-07","TCGA-AX-A05Y",NA
"2","TCGA-AX-A1CF-11A-11R-A137-07","TCGA-AX-A1CF",NA
"3","TCGA-BG-A2AD-11A-11R-A16F-07","TCGA-BG-A2AD",NA
"4","TCGA-AJ-A2QL-11A-11R-A18M-07","TCGA-AJ-A2QL",NA
"5","TCGA-AJ-A3NE-11A-11R-A22K-07","TCGA-AJ-A3NE",NA
"6","TCGA-FL-A1YM-11A-12R-A17B-07","TCGA-FL-A1YM",NA
"7","TCGA-DI-A2QY-11A-11R-A19W-07","TCGA-DI-A2QY",NA
"8","TCGA-E6-A1M0-11A-11R-A144-07","TCGA-E6-A1M0",NA
"9","TCGA-FL-A1YQ-11A-11R-A32Y-07","TCGA-FL-A1YQ",NA
"10","TCGA-BK-A4ZD-11A-12R-A27V-07","TCGA-BK-A4ZD",NA
"11","TCGA-DI-A2QU-11A-11R-A18M-07","TCGA-DI-A2QU",NA
"12","TCGA-AJ-A3NC-11A-11R-A22K-07","TCGA-AJ-A3NC",NA
"13","TCGA-FL-A1YU-11A-11R-A32Y-07","TCGA-FL-A1YU",NA
"14","TCGA-BG-A3PP-11A-11R-A22K-07","TCGA-BG-A3PP",NA
"15","TCGA-FL-A1YN-11A-11R-A32Y-07","TCGA-FL-A1YN",NA
"16","TCGA-AX-A2HC-11A-11R-A32Y-07","TCGA-AX-A2HC",NA
"17","TCGA-FL-A1YF-11A-12R-A16F-07","TCGA-FL-A1YF",NA
"18","TCGA-AX-A0J0-11A-11R-A27V-07","TCGA-AX-A0J0",NA
"19","TCGA-AX-A1CK-11A-11R-A137-07","TCGA-AX-A1CK",NA
"20","TCGA-FL-A3WE-11A-11R-A22K-07","TCGA-FL-A3WE",NA
"21","TCGA-AJ-A3NH-11A-11R-A22K-07","TCGA-AJ-A3NH",NA
"22","TCGA-FL-A1YL-11A-11R-A16F-07","TCGA-FL-A1YL",NA
"23","TCGA-BK-A0CB-11A-33R-A104-07","TCGA-BK-A0CB",NA
"24","TCGA-AX-A2HA-11A-11R-A18M-07","TCGA-AX-A2HA",NA
"25","TCGA-AX-A0IZ-11A-11R-A27V-07","TCGA-AX-A0IZ",NA
"26","TCGA-BG-A3EW-11A-22R-A22K-07","TCGA-BG-A3EW",NA
"27","TCGA-FL-A1YV-11A-12R-A32Y-07","TCGA-FL-A1YV",NA
"28","TCGA-AX-A2H8-11A-11R-A17B-07","TCGA-AX-A2H8",NA
"29","TCGA-BK-A13C-11A-11R-A118-07","TCGA-BK-A13C",NA
"30","TCGA-FL-A1YI-11A-11R-A16F-07","TCGA-FL-A1YI",NA
"31","TCGA-FL-A1YG-11A-12R-A16F-07","TCGA-FL-A1YG",NA
"32","TCGA-FL-A1YH-11A-11R-A16F-07","TCGA-FL-A1YH",NA
"33","TCGA-FL-A1YT-11A-12R-A32Y-07","TCGA-FL-A1YT",NA
"34","TCGA-AX-A2HD-11A-11R-A32Y-07","TCGA-AX-A2HD",NA
"35","TCGA-AX-A1CI-11A-11R-A137-07","TCGA-AX-A1CI",NA
