"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-N5-A59E-01A-11R-A28V-07","TCGA-N5-A59E",NA
"2","TCGA-N6-A4V9-01A-11R-A28V-07","TCGA-N6-A4V9",NA
"3","TCGA-N6-A4VG-01A-31R-A28V-07","TCGA-N6-A4VG",NA
"4","TCGA-N5-A4RM-01A-11R-A28V-07","TCGA-N5-A4RM",NA
"5","TCGA-ND-A4WA-01A-12R-A28V-07","TCGA-ND-A4WA",NA
"6","TCGA-N8-A4PM-01A-11R-A28V-07","TCGA-N8-A4PM",NA
"7","TCGA-N5-A4RS-01A-11R-A28V-07","TCGA-N5-A4RS",NA
"8","TCGA-N8-A4PO-01A-11R-A28V-07","TCGA-N8-A4PO",NA
"9","TCGA-N7-A4Y0-01A-12R-A28V-07","TCGA-N7-A4Y0",NA
"10","TCGA-N5-A4RO-01A-11R-A28V-07","TCGA-N5-A4RO",NA
"11","TCGA-N8-A4PQ-01A-11R-A28V-07","TCGA-N8-A4PQ",NA
"12","TCGA-ND-A4WF-01A-11R-A28V-07","TCGA-ND-A4WF",NA
"13","TCGA-NA-A4R1-01A-11R-A28V-07","TCGA-NA-A4R1",NA
"14","TCGA-NA-A4QV-01A-11R-A28V-07","TCGA-NA-A4QV",NA
"15","TCGA-N6-A4VD-01A-11R-A28V-07","TCGA-N6-A4VD",NA
"16","TCGA-N9-A4Q1-01A-11R-A28V-07","TCGA-N9-A4Q1",NA
"17","TCGA-NA-A4QY-01A-11R-A28V-07","TCGA-NA-A4QY",NA
"18","TCGA-N9-A4Q7-01A-11R-A28V-07","TCGA-N9-A4Q7",NA
"19","TCGA-N5-A4RN-01A-12R-A28V-07","TCGA-N5-A4RN",NA
"20","TCGA-N5-A4RD-01A-11R-A28V-07","TCGA-N5-A4RD",NA
"21","TCGA-N7-A59B-01A-11R-A28V-07","TCGA-N7-A59B",NA
"22","TCGA-N5-A4R8-01A-11R-A28V-07","TCGA-N5-A4R8",NA
"23","TCGA-NF-A5CP-01A-12R-A28V-07","TCGA-NF-A5CP",NA
"24","TCGA-N6-A4VE-01A-11R-A28V-07","TCGA-N6-A4VE",NA
"25","TCGA-N8-A4PI-01A-21R-A28V-07","TCGA-N8-A4PI",NA
"26","TCGA-ND-A4W6-01A-11R-A28V-07","TCGA-ND-A4W6",NA
"27","TCGA-N5-A4RF-01A-11R-A28V-07","TCGA-N5-A4RF",NA
"28","TCGA-ND-A4WC-01A-21R-A28V-07","TCGA-ND-A4WC",NA
"29","TCGA-QN-A5NN-01A-11R-A28V-07","TCGA-QN-A5NN",NA
"30","TCGA-NF-A4WU-01A-11R-A28V-07","TCGA-NF-A4WU",NA
"31","TCGA-N6-A4VF-01A-31R-A28V-07","TCGA-N6-A4VF",NA
"32","TCGA-N7-A4Y5-01A-12R-A28V-07","TCGA-N7-A4Y5",NA
"33","TCGA-QM-A5NM-01A-11R-A28V-07","TCGA-QM-A5NM",NA
"34","TCGA-N5-A4RV-01A-21R-A28V-07","TCGA-N5-A4RV",NA
"35","TCGA-NG-A4VU-01A-11R-A28V-07","TCGA-NG-A4VU",NA
"36","TCGA-N8-A4PL-01A-11R-A28V-07","TCGA-N8-A4PL",NA
"37","TCGA-N5-A4RJ-01A-11R-A28V-07","TCGA-N5-A4RJ",NA
"38","TCGA-N9-A4Q4-01A-11R-A28V-07","TCGA-N9-A4Q4",NA
"39","TCGA-NF-A4X2-01A-11R-A28V-07","TCGA-NF-A4X2",NA
"40","TCGA-NA-A5I1-01A-21R-A28V-07","TCGA-NA-A5I1",NA
"41","TCGA-N5-A59F-01A-11R-A28V-07","TCGA-N5-A59F",NA
"42","TCGA-NG-A4VW-01A-11R-A28V-07","TCGA-NG-A4VW",NA
"43","TCGA-NF-A4WX-01A-11R-A28V-07","TCGA-NF-A4WX",NA
"44","TCGA-N7-A4Y8-01A-11R-A28V-07","TCGA-N7-A4Y8",NA
"45","TCGA-NA-A4R0-01A-11R-A28V-07","TCGA-NA-A4R0",NA
"46","TCGA-N5-A4RT-01A-11R-A28V-07","TCGA-N5-A4RT",NA
"47","TCGA-N5-A4RA-01A-11R-A28V-07","TCGA-N5-A4RA",NA
"48","TCGA-NA-A4QX-01A-11R-A28V-07","TCGA-NA-A4QX",NA
"49","TCGA-N6-A4VC-01A-11R-A28V-07","TCGA-N6-A4VC",NA
"50","TCGA-NA-A4QW-01A-11R-A28V-07","TCGA-NA-A4QW",NA
"51","TCGA-N8-A56S-01A-11R-A28V-07","TCGA-N8-A56S",NA
"52","TCGA-N9-A4PZ-01A-22R-A28V-07","TCGA-N9-A4PZ",NA
"53","TCGA-N5-A4RU-01A-31R-A28V-07","TCGA-N5-A4RU",NA
"54","TCGA-N9-A4Q3-01A-11R-A28V-07","TCGA-N9-A4Q3",NA
"55","TCGA-N8-A4PN-01A-11R-A28V-07","TCGA-N8-A4PN",NA
"56","TCGA-N8-A4PP-01A-11R-A28V-07","TCGA-N8-A4PP",NA
